cotton_candy       cool_guy
fallen_angel       cookie_monster
butterfly_babe     lord_of_mud
sweetness          jack_sparrow
geeky_girl         made4pizza
sugar_pie          drooling_on_u
cat_lady           warlock_of_pain
nerdy_girl         greek_god
late4life          entertain_me
2hot4u             romeo
alwayz_l8          entropy
wild_n_free        lord_voldemort
goldfish_girl      kunning_king
daddys_girl        born_confused
honeybear          e4envy
live2love          error404
munchkin           nasty_scorpion
little_lamb        el_gato
snowflake          ghostly_presence
honeypie           scarecrow
sweet_lips         supernova
beach_babe         taco_ninja
drama_queen        wizard_man
calypso            lil_okie
sweetie_pie        whack_attack
2pretty2die        dark_lord
mila_bug           manic_psycho
angel_doll         shadow
petal_princess     toxic_hero
awesome_angel      numero_uno
chocolate_love     megatron
wine_girl          grill_master
awesome_sauce      pacman
live_free          buckshot
miss_beloved       system_clear
gypsea             squirrel_nuts
snazzy_diva        bull_frog
pajama_mama        bonecrusher
sleeping_beauty    maverick
dixie_chick        godfather
babykins           hangman
blossom            cyber_warrior
shop_girl          cyber_king
buttercup          exotica
catch22            oblivion
bubbly_beauty      dark_matter
southern_belle     cybertron
foxy_bliss         smart_geek
bubblegum_girl     hypnosis
butterscotch       net_freak
